country,code,population,gdp_per_capita
Afghanistan,AFG,32526562,594.323081219966
Albania,ALB,2889167,3945.21758150914
Algeria,ALG,39666519,4206.03123244958
Angola,ANG,25021974,4101.47215182964
Antigua and Barbuda,ANT,91818,13714.7319616988
