country,gdp_per_capita,gdp,gold,silver,bronze,total
San Marino,43828.23,1392904977.63,0,0,0,0
Haiti,818.343297634549,8765329889.9646,0,0,0,0
Palau,13498.661406228,287400000,0,0,0,0
Samoa,3938.54884570316,761037916.35753,0,0,0,0
Cambodia,1158.6899035244,18049954289.4228,0,0,0,0
Nicaragua,2086.89500277099,12692562187.4932,0,0,0,0
Nepal,743.322965726435,21194888047.8338,0,0,0,0
El Salvador,4219.35032953932,25850200000,0,0,0,0
Central African Republic,323.201674024141,1583776759.97697,0,0,0,0
Hong Kong*,42327.8399570345,309234500374.107,0,0,0,0
Saint Vincent and the Grenadines,6739.17483286945,737683555.555556,0,0,0,0
Cape Verde,3080.17881445563,1603239233.28178,0,0,0,0
Angola,4101.47215182964,102626929544.805,0,0,0,0
Micronesia,3015.23166762397,314971100,0,0,0,0
Eritrea,655.42,2215319600,0,0,0,0
Monaco,170028.66,6415351370.46,0,0,0,0
Malawi,371.985747810344,6403820949.24856,0,0,0,0
Guam,36214.01,6152217088.85,0,0,0,0
Malta,22596.1817742659,9746478873.23943,0,0,0,0
Djibouti,1945.12429310444,1727000000,0,0,0,0
Bangladesh,1211.70153057661,195078665827.564,0,0,0,0
Senegal,899.579879484977,13609989582.0353,0,0,0,0
Grenada,9212.02035173484,984074074.074074,0,0,0,0
Ghana,1369.70112227585,37543361203.561,0,0,0,0
Suriname,9485.31924429496,5150291216.67106,0,0,0,0
Seychelles,15476.01944443,1437722206.38755,0,0,0,0
Mauritius,9252.11072429051,11681761261.0428,0,0,0,0
Guinea-Bissau,572.988428543071,1056776883.4727,0,0,0,0
Laos,1818.44137293236,12369080042.8375,0,0,0,0
Vanuatu,2805.31464353567,742432131.041002,0,0,0,0
Lesotho,1066.98562625017,2278037785.72789,0,0,0,0
British Virgin Islands,43818,1319666706,0,0,0,0
Liechtenstein,165642.39,6216724539.09,0,0,0,0
Sudan,2414.72360102858,97156119150,0,0,0,0
"Palestine, Occupied Territories",3527.61,15405072870,0,0,0,0
Turkmenistan,6672.47754417351,35854571428.5714,0,0,0,0
Costa Rica,11260.0921598775,54136834090.867,0,0,0,0
Mauritania,1536.85,6251235733.4,0,0,0,0
Cayman Islands,78471.63,4705708236.21,0,0,0,0
Chad,775.695090525313,10888798113.7865,0,0,0,0
Aruba,28452.17,2955867489.13,0,0,0,0
Norway,74400.3697770928,386578443732.562,0,0,0,0
Burkina Faso,589.774414136617,10678201939.3595,0,0,0,0
Andorra,37475.64,2641020777.72,0,0,0,0
Dominica,7116.38639189547,517218962.962963,0,0,0,0
Equatorial Guinea,14439.5944478516,12202323684.1015,0,0,0,0
Bolivia,3076.79181060881,32997684515.1954,0,0,0,0
Saint Kitts and Nevis,15771.9455041308,876478555.555557,0,0,0,0
Iraq,4943.76038832056,180068537409.153,0,0,0,0
Togo,559.635876661945,4087903912.67556,0,0,0,0
Zimbabwe,924.143819253412,14419185900,0,0,0,0
Saudi Arabia,20481.7453220484,646001866666.666,0,0,0,0
Virgin Islands,36022.55,3730999593.7,0,0,0,0
Lebanon,8047.64508557496,47084703150.9121,0,0,0,0
Swaziland,3200.14301756487,4118488059.31546,0,0,0,0
Cameroon,1217.26067048427,28415950981.4448,0,0,0,0
Guyana,4127.35101806198,3166029055.69007,0,0,0,0
Brunei,30554.7296658073,12930394937.8137,0,0,0,0
Belize,4878.72126724745,1752861127.94553,0,0,0,0
Luxembourg,101449.968168042,57793612066.0975,0,0,0,0
Oman,15550.6762514328,69830949284.7853,0,0,0,0
Namibia,4673.56724769495,11491507355.6498,0,0,0,0
Bosnia and Herzegovina,4249.3303131949,16191716214.6829,0,0,0,0
"Congo, Dem Rep",456.052740548027,35237742278.1147,0,0,0,0
Finland,42311.0362306446,231949650659.865,0,0,0,0
Papua New Guinea,2509.63,19121676561.23,0,0,0,0
Botswana,6360.13822018837,14389717321.1029,0,0,0,0
Guinea,531.320595188714,6699203543.29047,0,0,0,0
Pakistan,1434.69666504969,271049886672.733,0,0,0,0
Albania,3945.21758150914,11398392444.316,0,0,0,0
Zambia,1304.87901447726,21154394545.895,0,0,0,0
Panama,13268.1137549335,52132289747.1732,0,0,0,0
Kyrgyzstan,1103.2153515202,6571853849.00583,0,0,0,0
Bermuda,106885.88,6972700381.8,0,0,0,0
Paraguay,4080.95144785437,27093938619.3332,0,0,0,0
Cook Islands,16700,291565300,0,0,0,0
Sao Tome and Principe,1669.06326801326,317696178.686716,0,0,0,0
Latvia,13648.5475564772,27002832427.6368,0,0,0,0
