height,sport,gold,silver,bronze,total
1.64,weightlifting,0,0,0,0
1.75,weightlifting,0,0,0,0
1.84,weightlifting,0,0,0,0
1.86,weightlifting,0,0,0,0
1.61,weightlifting,0,0,0,0
1.88,weightlifting,0,0,0,0
1.9,weightlifting,0,0,0,0
1.66,weightlifting,0,0,0,0
1.56,weightlifting,0,0,0,0
1.37,weightlifting,0,0,0,0
1.71,weightlifting,0,0,0,0
1.92,weightlifting,0,0,0,0
1.53,weightlifting,0,0,0,0
1.67,weightlifting,0,0,0,0
1.91,weightlifting,0,0,0,0
1.48,weightlifting,0,0,0,0
1.79,weightlifting,0,0,0,0
1.85,weightlifting,0,0,0,0
1.7,wrestling,3,1,4,8
1.6,wrestling,2,0,3,5
1.74,wrestling,1,2,1,4
1.8,wrestling,0,1,3,4
1.65,wrestling,0,1,2,3
1.81,wrestling,2,0,1,3
1.72,wrestling,0,0,3,3
1.63,wrestling,1,2,0,3
1.9,wrestling,1,1,0,2
1.77,wrestling,1,1,0,2
1.66,wrestling,1,1,0,2
1.75,wrestling,2,0,0,2
1.92,wrestling,1,0,1,2
1.64,wrestling,0,1,1,2
1.57,wrestling,0,2,0,2
1.73,wrestling,0,1,1,2
1.98,wrestling,1,0,1,2
1.83,wrestling,0,0,1,1
1.78,wrestling,0,1,0,1
1.85,wrestling,0,0,1,1
1.86,wrestling,0,1,0,1
1.88,wrestling,0,0,1,1
1.71,wrestling,0,0,1,1
1.69,wrestling,0,0,1,1
1.87,wrestling,0,0,1,1
1.82,wrestling,0,1,0,1
1.52,wrestling,1,0,0,1
1.79,wrestling,0,1,0,1
1.59,wrestling,1,0,0,1
1.62,wrestling,0,0,1,1
1.61,wrestling,0,0,1,1
1.67,wrestling,0,0,1,1
1.51,wrestling,0,0,1,1
1.58,wrestling,0,0,1,1
1.76,wrestling,0,0,1,1
1.84,wrestling,0,0,1,1
1.68,wrestling,0,0,1,1
1.56,wrestling,0,0,0,0
1.89,wrestling,0,0,0,0
1.54,wrestling,0,0,0,0
1.5,wrestling,0,0,0,0
1.91,wrestling,0,0,0,0
2.03,wrestling,0,0,0,0
1.53,wrestling,0,0,0,0
2,wrestling,0,0,0,0
1.95,wrestling,0,0,0,0
1.55,wrestling,0,0,0,0
1.93,wrestling,0,0,0,0
